block,M3_vs_M0,R45_vs_M3,Smooth_vs_M3,Full2D_vs_M3,Null_vs_M3,b45_pred
7,26.868930687981948,8.191021472630023,0.15577822181888012,8.175650263658104,-11.070875356062995,-0.0336627202874662
8,32.36658766089139,3.9431022002953546,0.08686997029492287,3.942697108247437,-8.24902977399928,-0.023821103718130843
9,38.17434107661222,2.061274994518353,0.17296705547640318,1.9652791885746723,-2.7712033433328367,-0.015357130574243705
10,38.713362184643834,1.1051479141907716,0.2031560436871834,1.1140110863165515,-0.33628328268436775,-0.00784291525743308
