block,imp_M3_vs_M0,L_30.0,L_31.0,L_32.0,L_33.0,L_34.0,L_35.0,L_36.0,L_37.0,L_38.0,L_39.0,L_40.0,L_41.0,L_42.0,L_43.0,L_44.0,L_45.0,L_46.0,L_47.0,L_48.0,L_49.0,L_50.0,L_51.0,L_52.0,L_53.0,L_54.0,L_55.0,L45_actual,Null_median,Null_95th,p_value_L45
7,25.457601604104195,4.229057276077107,5.094995431889459,5.889622653413056,6.594100985147369,7.207032240558861,7.738924813303889,8.204459851703163,8.61622276036668,8.981418948344144,9.301271104512422,9.572128819453136,9.787397386577306,9.939663864357984,10.022615623752582,10.032487749753336,9.968889809656893,9.834981240125147,9.637081837586123,9.383892187177873,9.085535308853053,8.752612545346683,8.395410745352907,8.023329399236935,7.644536870865811,7.265825255176825,6.892614784810706,9.968889809656893,-7.189949174096186,-4.7982924215811416,0.0
8,30.825874134451364,2.4781021614070045,2.9414107630180535,3.3612072078735156,3.7269698913304787,4.037829011207508,4.300381153718945,4.524499870505694,4.719498829271278,4.891847529181057,5.044461900486443,5.177074170754098,5.2871645817113695,5.371082390354664,5.425117461445165,5.446371444835113,5.433339622482331,5.3861717652808325,5.3066363422667475,5.197857963795563,5.063922350329173,4.909442829018669,4.739162600534374,4.557638017641529,4.369019838129212,4.17692813659343,3.9844042376324365,5.433339622482331,-2.7633693783352067,-1.2378187443819078,0.0
9,34.880690218569605,0.9048809424154124,1.2469705912294615,1.5649238546525546,1.8363332594262316,2.0536772705413715,2.2216055443661857,2.35127971585312,2.455075701038076,2.5432418914195565,2.6225316587447445,2.6961672795920926,2.764489746489074,2.8258627324530483,2.87758973098719,2.9167170020545172,2.9406543495312003,2.9475826779801633,2.9366487973335724,2.9079762654136943,2.862541317490903,2.8019708184431185,2.728314678307179,2.6438322524317517,2.550816338725476,2.4514639970966656,2.3477929922653704,2.9406543495312003,-0.58537337381662,0.4370630436057061,0.0
10,34.68386736157423,1.1727058515138606,1.3568495491541115,1.5109156838574604,1.6181167942429098,1.6709707900414474,1.6714654232170574,1.6279975433706586,1.5516537621365116,1.4534409293784578,1.342822611299873,1.227240650741105,1.1121757338590001,1.0014216934706164,0.8974005342147937,0.8014507707116144,0.7140755260270671,0.6351559101719734,0.5641367365801827,0.5001874381657074,0.44233737401349993,0.38958368246687297,0.3409710775977555,0.2956452011685907,0.25288313206912255,0.21210578073406544,0.1728770732759714,0.7140755260270671,-0.2054402534832454,0.28564955859344093,0.0
