p_center,g1,g2,resid_log,block
1894912206.0,28,56,0.1518409617222578,10
1270890835.0,58,18,0.1122797272111786,7
1270890835.0,36,8,-0.0458447175754367,7
1894912206.0,52,54,0.2880730173989259,10
1894912206.0,34,24,0.1113333373907748,10
1685609797.0,8,36,-0.0302535444650921,9
1685609797.0,2,40,-0.0213267059352798,9
1477585809.0,44,42,0.0436349237381458,8
1270890835.0,12,34,-0.0048597799111595,7
1477585809.0,44,40,0.0917585703459274,8
1894912206.0,58,26,0.1732838464580102,10
1685609797.0,34,56,0.1043215377379055,9
1894912206.0,2,36,-0.00888234994408,10
1685609797.0,24,38,0.1040519061577593,9
1477585809.0,8,4,-0.0660371159566637,8
1894912206.0,56,16,0.0814329035438883,10
1477585809.0,18,6,-0.0447154532314884,8
1685609797.0,56,12,0.0415453900001083,9
1894912206.0,38,4,-0.0048349354150293,10
1894912206.0,40,42,0.1029120315750092,10
1685609797.0,26,22,0.0565544903352827,9
1477585809.0,4,54,0.0875999767824295,8
1270890835.0,24,10,-0.0115645870229889,7
1477585809.0,32,22,0.0547231674819362,8
1894912206.0,18,12,-0.0221649393068328,10
1894912206.0,46,50,0.1649370131223305,10
1477585809.0,38,28,0.124118414776073,8
1894912206.0,10,18,-0.0423508070158189,10
1685609797.0,28,26,0.0617239820369484,9
1894912206.0,50,40,0.1968690486874892,10
1477585809.0,20,28,0.0540400892378844,8
1477585809.0,6,46,-0.0054183097692331,8
1894912206.0,32,10,0.0269257818768468,10
1685609797.0,30,6,-0.0065836122161527,9
1685609797.0,38,24,0.1258292652129994,9
1894912206.0,56,10,0.0892599825913565,10
1270890835.0,42,32,0.0996818648768475,7
1894912206.0,28,8,-0.0123179160999404,10
1894912206.0,32,22,0.0766116137807253,10
1894912206.0,22,50,0.1052200750968999,10
1477585809.0,30,18,0.0341333932673914,8
1270890835.0,24,18,0.045944945923172,7
1685609797.0,18,54,0.1039452385795047,9
1477585809.0,46,30,0.1205457280734799,8
1477585809.0,12,4,-0.0505756058063227,8
1894912206.0,20,22,0.0435866920686375,10
1477585809.0,24,38,0.1317867624426332,8
1894912206.0,32,28,0.0812076881811637,10
1685609797.0,42,4,-0.0028699051264351,9
1477585809.0,24,40,0.1392276842296163,8
1270890835.0,42,34,0.0952582057225503,7
1477585809.0,32,30,0.0773227665667003,8
1894912206.0,18,22,0.0246174642008506,10
1270890835.0,24,30,0.079539318135913,7
1270890835.0,44,48,0.0934296644619707,7
1477585809.0,36,22,0.0911200700358935,8
1477585809.0,54,26,0.1231455051379984,8
1477585809.0,54,28,0.1763114635531275,8
1894912206.0,56,58,0.2643635078775392,10
1894912206.0,46,20,0.0837979793675385,10
1894912206.0,18,54,0.0637422897233502,10
1894912206.0,20,52,-0.0168693672875694,10
1894912206.0,2,40,-0.0086258009660274,10
1477585809.0,16,44,0.0602047954527639,8
1894912206.0,18,46,0.1027808094560103,10
1477585809.0,10,36,0.0054025749577799,8
1477585809.0,28,42,0.0908768275013516,8
1477585809.0,48,22,0.1266235478834929,8
1685609797.0,18,30,0.0503399175146791,9
1477585809.0,26,6,0.0052037326769374,8
1270890835.0,40,24,0.1299193641434491,7
1685609797.0,36,44,0.1116818183794606,9
1477585809.0,18,2,-0.0506745706140748,8
1894912206.0,36,32,0.0489340365585044,10
1270890835.0,12,56,0.0284608345497721,7
1270890835.0,34,18,-0.0045991176907492,7
1894912206.0,4,50,0.0495010391907451,10
1894912206.0,40,26,0.1230192676078733,10
1270890835.0,46,54,0.1679364699924635,7
1270890835.0,10,8,-0.0540802984504301,7
1685609797.0,30,46,0.1345453777387803,9
1477585809.0,30,38,0.0940690099118876,8
1270890835.0,48,34,0.0540347708737514,7
1477585809.0,40,26,0.0873560309817135,8
1894912206.0,30,50,0.1987761731280095,10
1270890835.0,20,4,-0.0276079021737773,7
1270890835.0,34,8,-0.021423196264607,7
1894912206.0,24,14,0.0127276269180497,10
1894912206.0,24,42,0.1074907283718796,10
1270890835.0,54,52,0.2360545114193947,7
1894912206.0,42,54,0.1502805888240941,10
1894912206.0,16,12,-0.0438423713741625,10
1685609797.0,58,32,0.1663019526998661,9
1685609797.0,54,10,0.1387357005116963,9
1270890835.0,42,28,0.0797516322534626,7
1685609797.0,54,12,0.0805656599542942,9
1477585809.0,38,30,0.0899305627029257,8
1685609797.0,10,24,-0.0245411540292961,9
1685609797.0,48,8,-0.0030938333589825,9
1477585809.0,58,24,0.0755692687886849,8
1270890835.0,50,34,0.1214291395484792,7
1270890835.0,54,14,0.0649909586609231,7
1477585809.0,38,24,0.1128237589326023,8
1270890835.0,46,30,0.1177405181869016,7
1685609797.0,20,48,0.0359302257212075,9
1894912206.0,34,12,0.0271233819630179,10
1270890835.0,44,30,0.1527259044965987,7
1894912206.0,2,6,-0.0807231042785022,10
1270890835.0,6,16,-0.02252439862655,7
1685609797.0,30,38,0.1034500815268789,9
1685609797.0,40,50,0.159063828394748,9
1685609797.0,14,16,-0.0187349868205413,9
1685609797.0,2,16,-0.0459282846771657,9
1894912206.0,42,42,0.162002226244208,10
1894912206.0,36,28,0.1394319748836324,10
1270890835.0,48,30,0.1076660751645958,7
1477585809.0,18,50,0.0610050841069948,8
1894912206.0,30,38,0.1085695907058699,10
1685609797.0,12,10,-0.0303775015424408,9
1270890835.0,30,56,0.1066602934257289,7
1685609797.0,36,2,-0.013710048633665,9
1270890835.0,30,16,0.0459694897350169,7
1270890835.0,24,6,-0.011012611655277,7
1894912206.0,44,40,0.1327945001417211,10
1894912206.0,56,48,0.1857088006995439,10
1270890835.0,38,40,0.1085220666176248,7
1685609797.0,34,20,0.1019093191460372,9
1270890835.0,34,12,-0.0065208152745674,7
1894912206.0,6,46,0.0089141619734044,10
1477585809.0,50,52,0.1329584772652018,8
1685609797.0,8,16,-0.0423416330788364,9
1894912206.0,8,16,-0.0566534174777145,10
1477585809.0,2,34,-0.0416627903905424,8
1477585809.0,4,6,-0.0869791087764174,8
1270890835.0,32,36,0.0199056791981104,7
1477585809.0,38,48,0.1529489707539303,8
1477585809.0,24,44,0.0761166749304644,8
1270890835.0,38,46,0.0750298537251988,7
1477585809.0,52,38,0.1181764379195942,8
1894912206.0,12,34,0.0095329841351116,10
1685609797.0,54,56,0.1416450545185835,9
1894912206.0,30,4,-0.025691694635233,10
1270890835.0,12,50,0.0490365229122339,7
1477585809.0,2,28,-0.0122837034651504,8
1894912206.0,18,50,0.0651894429190561,10
1270890835.0,30,44,0.1105514417498149,7
1477585809.0,48,50,0.0780569416351021,8
1894912206.0,10,54,0.1523282737370721,10
1894912206.0,20,40,0.0946579687943881,10
1685609797.0,26,10,0.0010752919358213,9
1685609797.0,58,12,0.115897289740577,9
1894912206.0,18,4,-0.0343999657603351,10
1685609797.0,12,30,0.0289145101359337,9
1270890835.0,20,16,0.0226989569641148,7
1270890835.0,36,36,0.0148620881209858,7
1477585809.0,12,54,0.061346820992954,8
1270890835.0,36,12,-0.0035488014468891,7
1685609797.0,44,48,0.1494931930609692,9
1894912206.0,6,10,-0.0638090515501947,10
1685609797.0,16,56,0.0847328733505154,9
1894912206.0,2,42,-0.0283157262068595,10
1270890835.0,14,40,0.0394848164092811,7
1894912206.0,46,36,0.0741618776510995,10
1270890835.0,50,36,0.1118122721823719,7
1894912206.0,30,20,0.0493114686836917,10
1477585809.0,44,48,0.0797742153506836,8
1477585809.0,12,14,-0.0165138386194039,8
1685609797.0,18,52,0.0469856232689102,9
1685609797.0,54,50,0.1486400577085602,9
1894912206.0,46,8,0.0492644749667429,10
1270890835.0,46,2,-0.0385665297199578,7
1270890835.0,4,54,0.0688164383762052,7
1477585809.0,30,42,0.0777313661092317,8
1685609797.0,58,8,0.0821294750891523,9
